table1
Company,links,code,group
ADS Diagnostic Ltd.,//money.rediff.com/companies/ADS-Diagnostic-Ltd/16550007,523031,P
Advance Lifestyles Ltd.,//money.rediff.com/companies/Advance-Lifestyles-Ltd/16030036,521048,Z
Advance Metering Technology Ltd.,//money.rediff.com/companies/Advance-Metering-Technology-Ltd/15150058,534612,XT
Advance Multitech Ltd.,//money.rediff.com/companies/Advance-Multitech-Ltd/14610014,526331,P
Advance Petrochemicals Ltd.,//money.rediff.com/companies/Advance-Petrochemicals-Ltd/12130002,506947,P
Advance Powerinfra Tech Ltd.,//money.rediff.com/companies/Advance-Powerinfra-Tech-Ltd/14060310,531047,Z
Advance Syntex Ltd.,//money.rediff.com/companies/Advance-Syntex-Ltd/16490517,539982,B
Advanced Enzyme Technologies Ltd.,//money.rediff.com/companies/Advanced-Enzyme-Technologies-Ltd/11180007,540025,A
Advanced Micronic Devices Ltd.,//money.rediff.com/companies/Advanced-Micronic-Devices-Ltd/13160006,517552,Z
Advani Hotels & Resorts (India) Ltd.,//money.rediff.com/companies/Advani-Hotels-Resorts-India-Ltd/16560013,523269,B
Advent Computer Services Ltd.,//money.rediff.com/companies/Advent-Computer-Services-Ltd/13020053,531429,XT
Advik Capital Ltd.,//money.rediff.com/companies/Advik-Capital-Ltd/14010940,539773,X
Advik Laboratories Ltd.,//money.rediff.com/companies/Advik-Laboratories-Ltd/12540332,531686,XT
Advitiya Trade India Ltd.,//money.rediff.com/companies/Advitiya-Trade-India-Ltd/11250726,541152,M
Aegis Logistics Ltd.,//money.rediff.com/companies/Aegis-Logistics-Ltd/12040001,500003,A
Aeonian Investments Company Ltd.,//money.rediff.com/companies/Aeonian-Investments-Company-Ltd/14090343,503655,XD
Affle (India) Ltd.,//money.rediff.com/companies/Affle-India-Ltd/14094934,542752,B
Affordable Robotic & Automation Ltd.,//money.rediff.com/companies/Affordable-Robotic-Automation-Ltd/16690603,541402,M
Aftek Ltd.,//money.rediff.com/companies/Aftek-Ltd/13030008,530707,Z
Agarwal Industrial Corporation Ltd.,//money.rediff.com/companies/Agarwal-Industrial-Corporation-Ltd/16590027,531921,B
AGC Networks Ltd.,//money.rediff.com/companies/AGC-Networks-Ltd/15140006,500463,B
AGI Infra Ltd.,//money.rediff.com/companies/AGI-Infra-Ltd/11622776,539042,T
Agio Paper & Industries Ltd.,//money.rediff.com/companies/Agio-Paper-Industries-Ltd/16530008,516020,X
Agri-Tech (India) Ltd.,//money.rediff.com/companies/Agri-Tech-India-Ltd/11140091,537292,B
Agrimony Commodities Ltd.,//money.rediff.com/companies/Agrimony-Commodities-Ltd/11250343,537492,M
Agro Tech Foods Ltd.,//money.rediff.com/companies/Agro-Tech-Foods-Ltd/11070036,500215,B
Ahluwalia Contracts (India) Ltd.,//money.rediff.com/companies/Ahluwalia-Contracts-India-Ltd/11600049,532811,B
Ahmedabad Steelcraft Ltd.,//money.rediff.com/companies/Ahmedabad-Steelcraft-Ltd/15990001,522273,XT
AI Champdany Industries Ltd.,//money.rediff.com/companies/AI-Champdany-Industries-Ltd/17020074,532806,XT
AIA Engineering Ltd.,//money.rediff.com/companies/AIA-Engineering-Ltd/13510066,532683,A
Aikyam Intellectual Property Consultancy Ltd.,//money.rediff.com/companies/Aikyam-Intellectual-Property-Consultancy-Ltd/12200014,506822,XD
Aimco Pesticides Ltd.,//money.rediff.com/companies/Aimco-Pesticides-Ltd/12120014,524288,X
Aishwarya Technologies And Telecom Ltd.,//money.rediff.com/companies/Aishwarya-Technologies-And-Telecom-Ltd/15140085,532975,Z
Ajanta Pharma Ltd.,//money.rediff.com/companies/Ajanta-Pharma-Ltd/12540406,532331,A
Ajanta Soya Ltd.,//money.rediff.com/companies/Ajanta-Soya-Ltd/11070049,519216,X
Ajcon Global Services Ltd.,//money.rediff.com/companies/Ajcon-Global-Services-Ltd/14090105,511692,XT
Ajel Ltd.,//money.rediff.com/companies/Ajel-Ltd/14010034,530713,X
Ajmera Realty & Infra India Ltd.,//money.rediff.com/companies/Ajmera-Realty-Infra-India-Ltd/15550007,513349,B
Ajwa Fun World & Resorts Ltd.,//money.rediff.com/companies/Ajwa-Fun-World-Resorts-Ltd/17020245,526628,P
AK Capital Services Ltd.,//money.rediff.com/companies/AK-Capital-Services-Ltd/14010218,530499,X
AK Spintex Ltd.,//money.rediff.com/companies/AK-Spintex-Ltd/16020128,539300,X
Akar Auto Industries Ltd.,//money.rediff.com/companies/Akar-Auto-Industries-Ltd/13620038,530621,X
Akashdeep Metal Industries Ltd.,//money.rediff.com/companies/Akashdeep-Metal-Industries-Ltd/14011054,538778,X
Aki India Ltd.,//money.rediff.com/companies/Aki-India-Ltd/16510126,542020,M
AKM Lace and Embrotex Ltd.,//money.rediff.com/companies/AKM-Lace-and-Embrotex-Ltd/16490968,540718,M
Akme Star Housing Finance Ltd.,//money.rediff.com/companies/Akme-Star-Housing-Finance-Ltd/14080153,539017,B
Aksh Optifibre Ltd.,//money.rediff.com/companies/Aksh-Optifibre-Ltd/15050048,532351,B
Akshar Spintex Ltd.,//money.rediff.com/companies/Akshar-Spintex-Ltd/16030297,541303,M
AksharChem (India) Ltd.,//money.rediff.com/companies/AksharChem-India-Ltd/16090038,524598,B
Akzo Nobel India Ltd.,//money.rediff.com/companies/Akzo-Nobel-India-Ltd/17010008,500710,A
Alacrity Securities Ltd.,//money.rediff.com/companies/Alacrity-Securities-Ltd/14093693,535916,M
Alan Scott Industries Ltd.,//money.rediff.com/companies/Alan-Scott-Industries-Ltd/17024105,539115,XT
Alang Industrial Gases Ltd.,//money.rediff.com/companies/Alang-Industrial-Gases-Ltd/14560029,531517,XD
Alang Marine Ltd.,//money.rediff.com/companies/Alang-Marine-Ltd/13520101,520133,Y
Alankit Ltd.,//money.rediff.com/companies/Alankit-Ltd/15070035,531082,B
Albert David Ltd.,//money.rediff.com/companies/Albert-David-Ltd/12540053,524075,B
Alchemist Corporation Ltd.,//money.rediff.com/companies/Alchemist-Corporation-Ltd/16030148,531409,X
Alchemist Ltd.,//money.rediff.com/companies/Alchemist-Ltd/15600034,526707,T
Alchemist Realty Ltd.,//money.rediff.com/companies/Alchemist-Realty-Ltd/17010059,532114,X
Alembic Ltd.,//money.rediff.com/companies/Alembic-Ltd/12540002,506235,B
Alembic Pharmaceuticals Ltd.,//money.rediff.com/companies/Alembic-Pharmaceuticals-Ltd/12540995,533573,A
Alexander Stamps and Coin Ltd.,//money.rediff.com/companies/Alexander-Stamps-and-Coin-Ltd/14060174,511463,X
Alfa Ica (India) Ltd.,//money.rediff.com/companies/Alfa-Ica-India-Ltd/11570005,530973,XT
Alfa Transformers Ltd.,//money.rediff.com/companies/Alfa-Transformers-Ltd/13140015,517546,X
Alfavision Overseas (India) Ltd.,//money.rediff.com/companies/Alfavision-Overseas-India-Ltd/14060332,531156,X
Alfred Herbert (India) Ltd.,//money.rediff.com/companies/Alfred-Herbert-India-Ltd/13520030,505216,X
Alicon Castalloy Ltd.,//money.rediff.com/companies/Alicon-Castalloy-Ltd/13560079,531147,B
Alka Diamond Industries Ltd.,//money.rediff.com/companies/Alka-Diamond-Industries-Ltd/15070043,531581,Z
Alka India Ltd.,//money.rediff.com/companies/Alka-India-Ltd/16040089,530889,XT
Alka Securities Ltd.,//money.rediff.com/companies/Alka-Securities-Ltd/14090396,532166,XT
Alkali Metals Ltd.,//money.rediff.com/companies/Alkali-Metals-Ltd/12060043,533029,B
Alkem Laboratories Ltd.,//money.rediff.com/companies/Alkem-Laboratories-Ltd/12540464,539523,A
